start_point,get_on,get_off,end_point,recommend
일요일에도 여는 한의원이라 치료를 받고 집으로 돌아감,굳이 건너지 않고 버스를 탈 수 있는게 너무 좋았다마침 버스도 근처에 있어5분도 되지 않아 바로 도착하였다 원래는 택시를 이용하거나 배차 간격이 긴 버스를 이용해야 하는데 정말 편리했다 그런데 탑승을 하니 2분이 더 탑승하셔서 처음에 올때랑은 다르게 돌아갔다 원래 버스 노선이랑 거의 같게 간 것 같다 그리고 저번에도 느꼈지만 버스보다 승차감이 안 좋다  너무 멀미가 난다,마찬가지로 횡단보도를 건너지 않고 집에 바로 갈 수 있어 너무 좋았다 사소한 거지만 내릴때 발판이 나오는 게 정말 안전하고 대접받는 다는 느낌이 들었다,버스를 탈때보다는 편하게 길도 안 건너고 도착했다,돌아가는 버스를 이용하는 사람들
일을 마치고 필라테스 상담을 하고 집에 가는데 버스간격이 길다 그래서 아이모드를 이용해 봤는데 배차간격이 15분이라고 한다 버스를 탈까 고민했다,완정역에서 아이모드를 탑승했다 나밖에 탑승하지 않았고 편하게 집으로 왔다 그런데 평일 저녁 10시 이후에도 이렇게 배차가 오래걸린다면 앞으로 본격적으로 많은 사람들이 이용하면 얼마나 배차간격이 길어질까 생각이 들었다,차가 진짜 멀미가 심하다 이 점때문에 버스나 택시를 이용할 것  같다는 생각을 했다,가까운 직선거리의 버스 노선이라면 버스를 이용하는게 낫겠다 하는 생각이 들었다,돌아가는 버스를 이용하는 사람들
검단의 IMOD를 이용하기 전 IMOD가 먼저 도입됐고 관광하기 좋은 송도를 방문하기로 했다 전철을 타고 가다 신연수역에서 하차해 센트럴파크역까지 IMOD를 탑승하기로 했다 ITRIP어플로 배차를 시도했는데 빠르게 배차가 될 것이라는 예상과 다르게 시도한지 20분이 지나도 배차가 되지 않아서 결국 버스로 환승해 센트럴파크역으로 이동했다,센트럴파크에서 관광을 마친 후 테크노파크역에 있는 송도 현대아울렛에서 쇼핑을 하기 위해 ITRIP 어플을 이용해 IMOD를 호출했다 IMOD를 탑승하기 위해 호출했으나 이번에도 배차가 30분 정도 되지 않다가 마침내 운좋게 배차가 됐고 약 20분 후에 도착한다고 바로 알림이 떴으며 예상 시간과 비슷한 시간에 탑승하게 됐다 ,탑승은 일반 버스카드를 태그하듯 QR코드를 기기에 태그하기만 하면 돼서 간편했다 IMOD 내부도 굉장히 쾌적했다 인형이 안전벨트를 매고 있는 좌석이 있어 친밀감까지 들었다 택시로 이동했으면 비용이 2배로 들었을텐데  3600원에 이동할 수 있었다는 점도 만족스러웠다 IMOD 하차지점부터 최종 목적지까지 도보로 5분 이내였기 때문에  걸어서 이동했다 캠퍼스타운역 방면 정류장으로 도착지를 선택해야 더 가까운데 실수로 건너편에 있는 정류장을 눌러서 지하통로로 건너서 현대아울렛으로 이동했다,우선 IMOD 버스로 시민들이 보다 저렴한 가격에 쾌적한 환경의 이동수단을 제공받을 수 있다는 점은 매우 좋다 저렴하고 쾌적한 콜택시’라는 인상을 받았다 그러나 검단 계양 신도시보다 먼저 도입된 송도부터도 8대만 운영되고 있는데 1대당 38개 정류장을 맡고 있는 셈이라서 배차가 매우 어렵기 때문에 시민들이 필요할 때 이용할 수 없다는 점이 가장 치명적인 단점인 것 같다 이런 상황이 반복되면 결국 인천 시민은 IMOD를 이동수단으로서 우선적으로 고려하지 않게 될 것 같다 또 배차가 되지 않으면 점검중’이라는 문구가 굉장히 많이 뜨는데 실제로 점검중이라면 점검 시간 조정이 필요하고 일시적으로 뜨는 문구라면 정확 간결한 배차 불가 이유 안내가 나갔으면 좋겠다 ,비오는 날 등 기상이 안 좋은 날이나 짐이 많을 때 혹은 거동이 불편한 분이 이동할 일이 생기면 택시 대신 IMOD를 이용할 시  전철을 이용하는 것보다는 편리하고 택시보다는 저렴하게 이용할 수 있어 좋을 것 같다
"여자친구와 함께 송도 센트럴파크에 놀러갔다 오랜 시간동안 걸으니 피로가 많이 쌓여서
근처 카페에서 쉬다가 가기로 했다 충분히 쉰 후에 집에 가려고 교통편을 알아보니
버스 정류장이나 지하철역은 걸어가기에 거리가 약간 멀었고 택시를 타자니 비싼 가격이 우려되었다
그래서 가까운 거리에 정류장이 많은 IMOD를 이용해보기로 하였다 리뷰를 보니 배차시간이 너무  길어
이용이 불편하다는 평이 많았지만 편하고 부담되지 않는 가격으로 이동할 수 있으니 한번 이용해보기로 했다
배차가 바로 잡히기를 간절히 바랬던 것 같다","카페에서 IMOD호출을 눌렀는데 배차가 되지 않아 20분 정도 기다렸던 것 같다 처음에는 IMOD가 점검중이라고 나와서 당황했다 이 부분은 개선이 필요한 것 같다 그래도 배차가 잡혀서 다행이라는 마음으로 근처 정류장에서 
IMOD를 기다렸는데 다른 손님 때문인지 최단거리로 오지 않고 빙빙 돌아서 정류장으로 왔던 것 같다 
탑승해보니 널찍한 내부와 발열체크 장치 다음 정류장과 근처에 가볼만한 곳을 추천해주는 모니터가 
눈에 띄었다 차량 내부도 깔끔해서 만족스러웠다 지하철역까지 걸어가지 않고 IMOD를 이용하길 잘했다는 생각이 들었다","탑승한 사람이 나와 여자친구밖에 없어서 그런지 최단경로로 목적지까지 이동할 수 있었다
확실히 버스보다 좋은 점이 많다는 생각이 들었다 버스보다 빠르고 버스보다 승차감이 좋고
정류장이 많아 원하는 지점에서 타고 내릴 수 있기 때문이다 
반대로 버스만큼 많은 사람들이 이용하게 되면 너무 많은 정류장 때문에 이동 동선이 길어질 것 같다
배차가 상당히 어렵다는 점이 불편했다 그래도 정류장 지하철역까지 걸어가지 않고 편하게 이동할 수 있어서 좋았다","처음이라 비교적 짧은 거리만 이동했지만 다음에는 좀 더 긴 거리를 목적지로 설정해서 이동하면
기존 대중교통으로 이동하는 것보다 빠를 것 같다 오늘도 지하철로 이동하는 것보다 15분 정도는 빠르게
집에 도착한 듯하다 IMOD 를 이용하면서 든 생각은 배차가 잡히지 않을 때 안된다고만 안내해주기 보다는
몇 분 후에 배차가 가능하다는 배차 예상시간을 구체적으로 안내해줬으면 좋겠다
그렇게 되면 IMOD배차를 기다리다가 포기하고 다른 교통수단을 이용하는 사람들이 적어질 것이라고 생각한다 ","
추천  짐이 많거나 목적지까지 거리가 멀지만 시간여유가 있는 시민
이유 1 탑승할 때 발판이 내려와서 버스나 지하철보다 탑승이 쉽기 때문에 짐이 많은 경우 이용하기 편리하다
2 정류장마다 정차하지 않고 목적지까지 바로 가기 때문에 빠르지만 배차가 얼마나 걸릴 지 모르기 때문에
시간 여유가 있을 때 이용하는 것을 추천한다"
"송도에서 놀기 위해 차를 타고 송도로 향했다 송도에서 여기저기를 방문할 예정이라 차를 계속 
가지고 다니기 힘들었고 무료 주차장이 있는 송도 현대아웃렛에 차를 주차시키고 IMOD를 이용해 
돌아다니기로 했다 센트럴파크 방문겸 센트럴파크 근처에서 저녁을 먹으려고 IMOD를 호출했지만 
20분 동안 배차가 되지 않아 결국 자전거를 타고 식당으로 이동했다 저녁을 먹은 후 센트럴파크를 구경하고 다시 송도 현대아웃렛으로 가기 위해 itrip을 이용해 IMOD를 호출했고 배차가 되었으나 20 후 도착 
예정이었다 20분 동안 추가로 센트럴파크를 구경 후 IMOD에 탑승하였다","20분 후에 IMOD에 탑승할 수 있었고 IMOD안에는 추가로 다른 승객이 탑승해 있었다 IMOD를 다수 
이용해보았으나 매번 혼자 이용했고 다른 승객이 있던 적은 처음이라 너무 신기했다 목적지까지 가는 길에 다른 승객이 먼저 내리고 목적지에 도착할 수 있었다","기다린 시간을 포함하여 35분 만에 목적지에 도착할 수 있었다 IMOD를 다른 승객과 같이 타본 적이 처음인데 다른 승객 때문에 약간 경로를 돌아가는 것을 미리 알 수 없어 약간 
혼란스러웠다 또한 방향이 비슷하다면 중간도 추가로 승객이 탑승할 수 있기 때문에 목적지까지의 시간은 늘어나게 되어있다 목적지까지의 도착시간이 변동될 수 있다는 점에서 약간 불편함을 느낄 수 있었다 목적지까지 정해진 시간에 무조건 도착해야 하는 상황이라면 IMOD는 좋지 않은 선택일 수 도 있겠다는 
생각이 들었다 예상 도착시간이 맞아서 탑승했지만 추가로 승객이 탑승해서 지연되면 정해진 시간에 도착하지 못하기 때문이다","하지만 여전히 서비스는 편리했고 쾌적하게 이동할 수 있었다 배차가 진행되지 않았을 때를 위해 
현재 운행 중이 IMOD의 위치를 아이콘으로 지도에 표시해주면 좋을 거 같다 IMOD의 위치를 
보고 배차가 가능한지 아니면 현재 IMOD가 어디쯤 있는지 파악할 수 있어 이동수단을 
결정할 때 편리할 거 같다","
추천  시간이 넉넉하고 쾌적하게 이동하고 싶은 사람
이유  배차가 빠르게 진행이 안될 수 있고 중간에 경로가 변경될 수 있어 시간이 촉박한 사람은 늦을 수 있다

"
"검암역에서 볼일이 있어 나왔다가 검단 신도시에 있는 투썸플레이스에 가기 위해 네이버 지도를 확인했다 검암역
에서 투썸플레이스 인천 원당점까지 직통으로 가는 버스가 있었지만 이미 지하철 내부였기
때문에 출구를 찾고 버스를 찾으러 다시 역 밖으로 나가기 너무 귀찮았다 그래서 어떻게든 되겠지
하면서 인천 2호선을 타고 완정역으로 가기로 했다 완정역에서 투썸플레이스까지 멀지 않아 버스를 찾아보고 없
으면 가까우니 택시를 탈 생각이었다","완정역에서 버스를 탈 생각을 하고 4번 출구로 나왔더니 4번 출구 앞 버스정류장에 IMOD가 대기 중인
것을 발견했다 다른 사람이 호출한 버스인 것 같아서 출발할까 봐 조마조마한 마음으로 급하게 itrip으로 경로
검색을 하고 버스를 호출했다 이미 itrip 회원가입과 카드 등록을 해 놓은 탓에 빠르게 IMOD 배차를 확정
받았고 정류장에 대기 중인 IMOD를 탑승했다 다른 사람이 호출한 줄 알았던 IMOD는 나 혼자 탑승한
채 출발하였다 기사님께서 역 앞에서 호출 대기 중이셨던 거 같다 대기 중인 IMOD를
탑승하니 역 앞에서 콜택시를 탄 기분이었다 대기시간 없이 역에서 나오자마자 IMOD를 탑승할
수 있어서 너무 좋았다","완정역에서 버스를 탈 생각으로 경로 검색을 하면서 역을 나오고 있었는데 출구 바로 앞에서 IMOD를
탈 수 있어서 내가 몇 번 버스를 타야 하는지 정류장이
어딘지 확인을 안 해서 너무너무 편리했다 점심시간쯤이어서 버스를 타면 혼잡했는데 IMOD는
혼자 편리하게 이동할 수 있어서 너무 좋았다 무엇보다 버스는 모든 정류장에서 정차하지만 IMOD는
다른 손님이 없으면 직통으로 목적지까지 가기 때문에 택시와 같은 서비스를 누릴 수 있었다","앱에서 현재 나의 위치를 확인할 수 있고 하차시점에 핸드폰으로 푸시 알림이 와서 너무 편했다 기존에 버
스를 탈 때에는 지금이 어느 역인지 계속 확인했어야 했고 자칫하다 가는 핸드폰을 보다가 하차역을 지나
친 경험도 있어서 내려야 할 시점을 알려주는 게 너무 편했다 지하철을 타고 왔기 때문에 환승이 안 된다
는 점이 너무 아쉬웠지만 택시를 탈 생각도 있었기 때문에 택시보다는 많이 저렴했다 1800원으로 시간도
절약하고 서비스도 좋아서 전혀 아깝다고 느껴지지 않았다","목적지까지 편리하게 쾌적하게 가고 싶은 시민
이유  목적지가 비슷한 사람들끼리 동승하기 때문에 정차하는 목적지가 많지 않아 빠르게 갈 수 있고 무엇보다 정해진 인원만 타기
때문에 혼잡하지 않아서 좋다"
"마곡나루역에서 선약이 있어 어떻게 갈지 고민 중이었다 이제 봄이 오면서 날씨가 좋아 대중교통
말고 드라이브도 할 겸 쏘카를 빌려서 갈 생각이었다 그렇게 쏘카 어플을 확인했고 원하는 시간의 차가 검단
2 공영 주차장에 있었다 쏘카 시간이 촉박하여 택시를 탈 생각에 택시 호출 어플을 확인해보니 8분
후 도착이었다 이렇게 되면 택시를 탈 이유가 없었고 3분거리에 IMOD 정류장이 있어 카카오 자전거를 타고 IMOD
정류장으로 갔다","유현사거리에서 호출을 하려고 정류장에 도착해 앱을 실행하니 10분이 지나도 배차가 되지 않았다 버스는 모두 20분
후 도착예정이라 다시 자전거를 타고 검단 신도시 안쪽으로 들어갔다 서구영어마을이라는 정류장에 도착했고 해당
정류장에서 호출을 시도하니 2분만에 IMOD가 도착하였다 유현사거리는 김포와 검단 신도시 경계에 있는 외곽쪽
정류장이다 검단 신도시 안쪽에서는 IMOD가 빠르게 배차 되었지만 외곽에서는 배차가 힘들다는 것을 확인하였다","IMOD가 아직 대중화되지 않아서인지 나 혼자 탑승하였고 정차 없이 완정역으로 바로 갔다 그렇게 나는
서구영어마을에서 8분 만에 도착할 수 있었고 시간에 맞춰 쏘카를 탑승할 수 있었다 비록 배차가 되지 않아서
자전거를 타고 다른 정류장으로 이동했지만 그래도 버스를 이용하였을 때보다 빨리 도착 할 수 있었다
지금은 많은 사람이 이용하지 않아서 바로 배차 받을 수 있지만 사용인원이 많아져서 배차 시간이 길어진다면
버스와 IMOD 중에서 뭐가 더 효율성 있는지 고민해볼 것이다","itrip으로 경로 검색 후 IMOD 호출 시 IMOD 앱 서버가 불안정한 지 IMOD 시작페이지에서 무한
로딩되는 현상이 있었다 여러 번 시도해도 같은 현상이 계속 발생되었고 실행 중인 앱을 완전
삭제 후 다시 시도했더니 호출이 가능했다 실제 itrip에서 경로를 검색하였을 때 다른 대중교통과 연계해서
IMOD를 이용하였을 때 더 효율적인 경로가 거의 나오지 않았다 검단 신도시내에서 이동할 때 IMOD 이용이 더
효율성 있는 것 처럼 느껴진다","추천  검단신도시내에서 빠르고 편리하게 이동하고 싶은 시민
이유  검단신도시 밖에서 대중교통을 타고 검단 신도시로 오는 경우 대중교통이 잘 되어 있어 추가로 IMOD를 호출 할 일이 없을
것이다 실제로 itrip에서 경로 검색을 했을 때 IMOD와 연계한 경로가 나오는 경우가 거의 없었다"
"신도시 특성상 퇴근시간 이후는 배차 자채가 어려움 수번을 호출을 해도 응답하지 않음 몇번 아니 수십번의 시도 끝에  겨우 호출성공 “이시간이면 차라리 걸어 가는 것이 좋지 않았나  “ 하는 후회가 막심 함 

그래도 꿋꿋하게  재시도 끝에 배차 성공 출발 위치는 검단신도시 남쪽부근인 “아라노을공원 한신더휴” 
다행이 대기시간은 7분으로 그리 긴시간은 아니나 “수요응답형” 이란 목적과는 정말 상반 된 것 같음
이서비스는 다시한번 느끼지만 지자체 혹은 관공서 혹은 공기업의 의무적인 예산 사용을 위한  보여주기식’  서비스 같음","다행이 해당 버스는 정확한 정류장에 도착하였으며  기사님의 응대 혹은 승차 고객의 탑승에 전반적인 부분역시
일반 버스와는 달리   친절하고  안전하였으며  기타 다른 부분에선 불편한 부분이 없었음","신도시의 특성상  거주하는 아파트 인접한 곳에 많은 상권이 형성되지 않은 탓에  기존 상권이 형성되어 있는 원도심
구도심으로 이동 하였음 해당 노선을 이동하는 부분에선 특이사항 없음  대채적으로 만족 하는 부분","신도시를 고려하지 않은 노선과  운영 방침    기존 여타 다른 신도시  송도  영종도 를 운영하며 있던 내용을
그대로 접목하고자 하는  전문성이라고 전혀 느껴지지 않은 탁상행정  사람이 아직 거주 하고 있지도 않은 곳에 정류장을 표시한 이유는 무엇인지  아이모드의 장점은 이름 그대로 ’수요응답형 버스＂라는 것으로 소형버스로 일부 대로 및 소로 등 노선의 방법이나 위치등 특이점을 찾아 합리적인 노선과 운용 방법이 있을 텐데 전혀 고려하지 않은 운영의 방법 또한 이를 바로잡지 않고 그저 목적과 스케줄에 따라 과정에 속한 기관및 유관 부서등 다시한번 많은 아쉬움이 느껴지는 부분 입니다","
추천   없음
이유   특이사항 없음"
드디어 격리가 끝났다 격리가 끝나고 주민센터에서 격리 지원금 신청서를 쓰고 엄마와 아이모드 체험을 하기 위해 계양역으로 가기로 정하여 버스를 호출했다,다른 분들의 후기도 들어보고 제대로 사용법을 알게 되니 얼른 버스를 타보고 싶다는 마음이 있었다 배운 사용법대로 호출하니 그렇게 어렵지도 않았고 버스도 바로 배차되고 써져 있던 시간대로 도착하였다 문도 자동문이고 버스 발판이 내려와서 신기했다 버스를 탈 때 옆에 어느 분께서 우리가 타는 걸 보고 문을 두드리시면서 타도 되냐고 물어보셨다 아마 그 분께서는 신기한 버스인줄 아셨던 것 같다 기사님은 어플로 불러야된다고 하시고 출발하셨다 아직 아이모드가 뭔지 모르는 사람이 많고  홍보가 필요하다는 걸 더욱 느낄 수 있었다,"계양역까지 굉장히 편하게 이동하였고 이용하는 사람들도 없어서 택시같은 느낌이었다 안에 손소독제와 컵홀더가 있어서 위생적이었고 기사님쪽은 비닐같은걸로 막혀있어서 안전해보였다
목적지와 출발지점이 너무 가까워서 조금밖에  못타는 것이 아쉬웠다 
 
 ",계양역에 도착하였다  계양역까지 편하고 빠르게 이동할 수 있었다 버스 이용범위가 더 넓어진다면 좋겠다 너무 편리한 버스이지만 이용범위가 너무 좁아서 5분밖에 이용하지 못했다는 것이 아쉬웠다 계양구청이나 계양산 시장 쪽 까지만이라도 범위가 확대된다면 체험의 목적이 아니더라도 자주 이용할 것 같다 ,"
추천   짐이 많은 사람  캐리어를 들고 대중교통을 이용해야하는 사람
이유   대중교통을 이용하면 무거운 짐을 들고 버스계단을 올라가야하고 흔들리는 버스라 힘들 수 있을텐데 아이모드 버스는 버스의 공간도 넓고 이용하는 사람도 적으므로  쾌적하게 무거운 짐을 놓고 이동할 수 있을 것 같다 

"
생일을 맞이해 쉐라톤 호텔에서 호캉스를 즐기고 귀가하기 위해 아이모드를 타고 가까운 지하철역으로 가고자 했다,월요일 늦은 10시가 다 되어가는 시간이라 바로 배차가 됐다 15분 후 탑승 가능하다고 표시됐고 버스도 제 시간에 맞게 도착했다 호텔 앞 버스 정류장에서 탑승했다 기사님이 친절하게 인사해주셨다 얼마 안 되는 거리에서 다른 승객이 탑승했다,기사님이 운전을 잘 하셔서 편안하게 목적지까지 도착할 수 있었다 13분 탑승했고 2명이라 3600원을 지불했다 벌써 세 번째 아이모드를 탑승했는데 1인 이용시 가성비가 좋은 점이 마음에 든다 아직 교통이 발달하지 않은 신도시에서 동네에서 동네로 이동할 때 참 유용한 교통 수단같다,송도는 확실히 imod 이용이 검단계양보다 활발해서 28일에 2번 이용하는데 모두 중간에 다른 사람이 탔다 검단 계양도 주민들의 연령대에 맞는 홍보와 혜택으로 시민들의 이용을 장려해 시민들이 편리하게 이동할 수 있으면 좋겠다,"혼자’ 마을에서 마을로만’ 이동시 굉장히 가성비 좋고 편리한 교통수단이 될 것 같다 버스보다 350원 비싼데 택시같은 느낌이니 말이다
다만 앞서말한 경우가 아닐 경우에는 그냥 저렴한 택시와 다름없어 아쉽다
환승이 된다면 시민들이 알아서 찾아서 서비스를 이용하려고 할 것이다"
"단지 바로 옆에 IMoD 정류장이 있다보니  
I trip 앱을 켜자마자 차량이 2분 후 탑승가능하다는 문구를 보고 엘리베이터가 올라 올때까지 기다렸다가 탑승결제를 함
내린 후 1분 이내로 IMoD 차량이 옴",실제 이용 기록은 6분으로 지하주차장에가서 승용차를 타고 주행을 한다고 했을때 단지 밖을 벗어날 시간쯤 삼정프라자에 도착할 수 있어서 기동성  및 편의성에서 승용차보다 IMoD가 상당히 우수함,늦은시간이라 시내버스들이 붐비지 않아 정류장 한가운데서 내리고 주변에 기다리는 사람도 없었음,"삼정프라자 정류장에서 1분 거리에 있는 곳이고 비조리 식품 픽업이라 결제까지 5분내로 일사천리로 결제 맘스터치 또한 사전 예약으로 바로 픽업 함
이후 돌아오는 길은 호출 후 1분내에 탑승할 수 있었고 도착까지는 4분 소요되어 무척 편리함 단지내 홍보를 할 수 있었음",추천 이유  신도시라는 이유만으로 배달비나 음식가격에 차별을 받고 있어서 많은 분들이 주변 식당가에 배달보다는 포장을 선호하는 상황입니다 바로 옆 풍무동은 시가 달라서 그런지 실제 1km가 되지 않음에도 배달비를 6천원에서 8천원까지도 받기도 합니다 원당동쪽은 배달비가 주로 4천원인데 아이모드를 이용하니 다소 몸이 피곤하긴 하지만 평소 배달할때는 아내가 양보를 하여 아이가 먹을 수 있는 음식을 시켰는데 오늘은 아이모드를 통해 아내와 아이를 모두 만족시킬 수 있는 음식을 포장하여 배달비 8천원대신 3600원의 비용을 20분 안쪽으로 이용하니 무척 용이 했습니다 물론 1가지만 시킬때는 권장되지 않는 방법입니다
단지 바로 옆에 IMoD 정류장이 있다보니  접근이 쉬워서 관리실에서 정류장까지 대략 3분 정도 소요,대표님들이 모두 모인 후 버스를 부르고 결제하기까지 5분이내 모든 행위가 이루어져서 대기시간도 체감할 수 없고 좋았습니다,하차를 원하는 지점까지 갈 수 없는 점이 아쉬웠습니다,"IMoD는 호출에 어려움이 없고 결제도 편하고 대기시간이 소요되지 않는 점이 무척 좋았습니다
다만 근거리 이동의 경우 다수가 타는 것은 택시비보다 비싼 감이 있습니다","
추천  
이유  버스 승강장에서 추운날씨에 언제 올지 모르는 버스를 기다리는 것보다 직접 호출해서 탈 수 있는 IMoD를 이용하는 것이 좋다 생각합니다 다만 계양역등 주요 이용시설에 가지 않는 단점 및 주요 이용시설에 갔을때 수요가 늘어서 서비스 이용에 불편이 생길 수 있는 점이 잘 조율 되야할 것 입니다
"
식당에서 정류장까지 걸어가는데 소요되는 시간은 옥계공원을 통해 식당에서 호반아파트까지 걸어가는 시간과 유사합니다 버스 대기시간 이동시간등을 고려하면 걷는 것이 더 빠를 수도 있고 비용적인 측면에서도 이득입니다만 홍보를 위해 이용하였습니다	,역시 대기와 결제등에는 크게 문제가 없었습니다,아라동 행정복지센터는 특정 동대표님들께만 가까울 수 있고 다른 정류장을 이용해보기 위해 아라동 행정복지센터에 하차하였습니다,"IMoD는 호출에 어려움이 없고 결제도 편하고 대기시간이 소요되지 않는 점이 무척 좋았습니다
다만 근거리 이동의 경우 다수가 타는 것은 택시비보다 비싼 감이 있습니다", 야간에 추운날씨에도 대기 시간이 없는 점은 무척 편리하고 내부가 쾌적하여 이용이 용이합니다
"오류지구에서 일반 버스 배차간격이 길어 완정역까지 지하철을 타고 이동했다 
지하철 소요시간 13분
지하철 안에서 호출하여 정류장 도착하면 기다리는 시간을 줄일수 있다","지하철 하차 전 itrip앱으로 호출 하였다 호출 대기시간은 13분 주말이라 대기시간이 길었다
지하철에서 정류장까지 걸어 올라오는 시간과 호출 시간이 거의 비슷하여 대기 시간 길지 않게 버스를 탑승하였다
itrip앱을 닫았다가 버스가 도착하여 탑승권을 찍어야 하는데 앱을 켜도 탑승권 확인이 되지 않아 당황했다
탑승권을 찍어야 버스가 출발한다고 한다  어렵게 찍고 앉았는데 버스안 냄새가 심하다
정말 환기가 너무 너무 필요하다 심지어 창문이 없어 너무 답답했다 새차냄새 환기 좀 해주세요 제발","저번과 같은 종착지를 선택한 이유는 시간을 비교해 보고 싶어서이다
완정역서구영어마을 소요시간12분 대기시간 13분
서구영어마을완정역 소요시간8분 대기시간4분
버스를 타는 도중 별다른 호출이나 손님은 없었다 주말에 차량 2대만 움직여서 대기시간이 길거라 생각했는데
오히려 평일보다 짧았다
","평일보다 빠르게 도착하여 만족스러웠다

개선점 
결제 방법 itrip앱에서 결제화면이 안보이고 자동호출 화면으로 넘어감 자동 등록된 결제화면 결제된 내용 보여주세요

앱 사용성 1 itrip앱을 닫고 다시 앱을 켰을때 탑승권 QR확인 가능한곳이 있어야 한다마이페이지 버스탄이력조회가능탑승권 확인 가능
2 현재 위치로 가장 근거리 정류장이 나오도록 검색하도록 해주세요검색기능 수정 보완 요청
3 출발지 설정할때 정류장 검색도 할수 있도록 활성화 필요

서비스 새차 냄새와 안좋은 냄새가  강해서 문을 열고 싶었으나 창문이 없슴","
추천  대형마트병원  중심부 검단사거리완정역 독정역 가기위한 버스  배차 간격이 긴 지역오류지구 금곡동 마전지구 안쪽
버스 배차 간격이 길어 중심부까지 가기 까지 너무 오래 걸린다 호출 버스가 많은 도움이 될것 같다 

1 아이모드 호출버스의 정체성 택시냐 버스냐 이런 문제가 아닌 누구를 위해 존재 할 것인지
2 편향성검단신도시만 운영  소외된 지역이 없도록 하는게 중요
3 안타까운 부분은 현 운영한 지역에 대한 서비스 개선을 위한 아이디어를 낸것인지  아이모드의 앞으로 활성화 방안 이부분이 정립되지 않은 상태에서 의견을 쓴 부분이다 ex 지금까지 검단신도시에 있다고 편향성 부분을 이야기 했었는데 다른 주재의 아이모드의 아이디어를 구했다면 친목도모를 위한 아이모드 운영산행 브런치까페 모임 키즈까페모임 운동모임 문화시설모임
등으로 내용이 확장 되었을 것이다"
